2019-10-18 16:00:42 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   1,5; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 986.0; Tile: ROAD
2019-10-18 16:00:42 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:   1,6; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 985.0; Tile: ROAD
2019-10-18 16:00:42 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:   1,7; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 984.0; Tile: ROAD
2019-10-18 16:00:43 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:   1,8; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 983.0; Tile: ROAD
2019-10-18 16:00:43 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:   1,9; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 982.0; Tile: ROAD
2019-10-18 16:00:43 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  1,10; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 981.0; Tile: ROAD
2019-10-18 16:00:43 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  1,11; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 980.0; Tile: ROAD
2019-10-18 16:00:44 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  1,12; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 979.0; Tile: ROAD
2019-10-18 16:00:44 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  1,13; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 978.0; Tile: ROAD
2019-10-18 16:00:44 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  1,14; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 977.0; Tile: ROAD
2019-10-18 16:00:44 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  1,15; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 976.0; Tile: ROAD
2019-10-18 16:00:44 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  1,16; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 975.0; Tile: ROAD
2019-10-18 16:00:45 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  2,16; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 974.0; Tile: ROAD
2019-10-18 16:00:45 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  3,16; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 973.0; Tile: ROAD
2019-10-18 16:00:45 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  4,16; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 972.0; Tile: ROAD
2019-10-18 16:00:45 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  5,16; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 971.0; Tile: ROAD
2019-10-18 16:00:46 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  6,16; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 970.0; Tile: ROAD
2019-10-18 16:00:46 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  7,16; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 969.0; Tile: ROAD
2019-10-18 16:00:46 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  7,15; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 968.0; Tile: ROAD
2019-10-18 16:00:46 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  7,14; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 967.0; Tile: ROAD
2019-10-18 16:00:47 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  7,13; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 966.0; Tile: ROAD
2019-10-18 16:00:47 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  7,12; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 965.0; Tile: ROAD
2019-10-18 16:00:47 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  7,11; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 964.0; Tile: ROAD
2019-10-18 16:00:47 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  7,10; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 963.0; Tile: ROAD
2019-10-18 16:00:48 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   7,9; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 962.0; Tile: ROAD
2019-10-18 16:00:48 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   7,8; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 961.0; Tile: ROAD
2019-10-18 16:00:48 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   7,7; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 960.0; Tile: ROAD
2019-10-18 16:00:48 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   7,6; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 959.0; Tile: ROAD
2019-10-18 16:00:49 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   7,5; Parcels:      0; Health: 185.0; Health Usage: 200.0; Fuel: 958.0; Tile: ROAD
